Date,LSTM_Pred,Sentiment_Score,XGB_Pred,XGB_Prob_Up,Open,High,Low,Close,Volume,DE Ratio,Return on Equity,Price/Book,Profit Margin,Diluted EPS,Beta
2021-08-02,171.81479311168192,0.2800319106556666,1,0.617567,172.47,172.84,171.3,172.27,3721473.0,,0.201,5.17,0.158,5.79,0.463
2021-08-03,171.872441111207,0.24898185481991864,1,0.96500236,172.73,174.5,172.44,174.39,6032998.0,,0.201,5.17,0.158,5.79,0.463
2021-08-04,172.07050946354863,0.3206799910904604,0,0.15611044,174.2,174.59,173.259,173.36,4793117.0,,0.201,5.17,0.158,5.79,0.463
2021-08-05,172.36771194994446,0.25831781311376006,0,0.3651072,173.85,173.85,172.42,173.69,4291332.0,,0.201,5.17,0.158,5.79,0.463
2021-08-06,172.70451943576333,0.10795325886981959,0,0.24438469,173.94,173.94,172.45,173.11,4581065.0,,0.201,5.17,0.158,5.79,0.463
2021-08-09,172.93196095407006,0.18556101173912545,1,0.6754355,173.72,174.25,172.93,173.71,3950185.0,,0.201,5.17,0.158,5.79,0.463
2021-08-10,173.05608696758745,0.35174770441328523,1,0.6623898,173.26,174.11,172.78,173.77,3678454.0,,0.201,5.17,0.158,5.79,0.463
2021-08-11,173.10507355630395,0.2667052085150985,1,0.7017029,174.25,174.47,173.56,173.8,4221298.0,,0.201,5.17,0.158,5.79,0.463
2021-08-12,173.1232731169462,0.4893333854416941,1,0.9911227,173.82,175.29,173.59,175.2,4301392.0,,0.201,5.17,0.158,5.79,0.463
2021-08-13,173.29550898015498,0.4349200234632234,1,0.987811,175.29,176.29,175.12,176.25,5880440.0,,0.201,5.17,0.158,5.79,0.463
2021-08-16,173.74308666110036,0.16169540759117035,1,0.9845011,176.55,177.89,175.95,177.84,4783192.0,,0.201,5.17,0.158,5.79,0.463
2021-08-17,174.5608649867773,0.20180009879532765,1,0.98355216,177.31,179.51,177.31,179.47,6041881.0,,0.201,5.17,0.158,5.79,0.463
2021-08-18,175.75882770240304,0.3160484568052674,0,0.09296921,179.5,179.5,177.13,177.19,7134094.0,,0.201,5.17,0.158,5.79,0.463
2021-08-19,176.75426370322702,0.38140156353992505,1,0.61110485,176.62,179.3269,176.07,178.57,5615038.0,,0.201,5.17,0.158,5.79,0.463
2021-08-20,177.4485157626867,0.4478473588703716,1,0.9438267,178.89,179.92,178.07,179.44,5428729.0,,0.201,5.17,0.158,5.79,0.463
2021-08-23,177.9586622613668,0.3869910685966772,0,0.10546868,178.39,178.93,177.54,177.61,6461676.0,,0.201,5.17,0.158,5.79,0.463
2021-08-24,178.17470376372336,0.5382618957253398,0,0.06700805,176.99,177.21,175.28,175.39,5734824.0,,0.201,5.17,0.158,5.79,0.463
2021-08-25,177.9225040024519,0.34182615911759645,0,0.09987649,175.69,175.9,173.892,174.23,5700289.0,,0.201,5.17,0.158,5.79,0.463
2021-08-26,177.20385499358176,0.2692418934591149,0,0.07181684,173.95,174.72,173.05,173.3,5031639.0,,0.201,5.17,0.158,5.79,0.463
2021-08-27,176.12220953345297,0.23747520209233874,0,0.04916419,174.28,174.28,172.75,172.93,7046079.0,,0.201,5.17,0.158,5.79,0.463
2021-08-30,174.8386611920595,0.5442623409528327,1,0.6445245,172.79,174.28,172.78,173.66,3253006.0,,0.201,5.17,0.158,5.79,0.463
2021-08-31,173.68346599876878,0.32604334377105226,0,0.43368357,173.49,174.49,172.48,173.13,7106790.0,,0.201,5.17,0.158,5.79,0.463
2021-09-01,172.83546426296232,0.5052644279555163,1,0.9058664,172.9,173.74,172.06,173.74,5327351.0,,0.201,5.17,0.158,5.79,0.463
2021-09-02,172.3999369263649,0.3322149362634442,1,0.9757597,174.34,175.19,173.91,174.93,4545449.0,,0.201,5.17,0.158,5.79,0.463
2021-09-03,172.47838820874688,0.32638938763856906,1,0.95047605,175.1,175.22,173.81,175.04,4097512.0,,0.201,5.17,0.158,5.79,0.463
2021-09-07,172.9184100371599,0.5895931465505739,0,0.09517901,174.35,175.03,171.67,172.32,6859871.0,,0.201,5.17,0.158,5.79,0.463
2021-09-08,173.12011541128157,0.6266244856346095,0,0.110195726,171.62,172.98,171.08,171.9,4661733.0,,0.201,5.17,0.158,5.79,0.463
2021-09-09,172.86818541586396,0.4853173130526348,0,0.08291538,171.19,171.48,167.7,168.07,7114577.0,,0.201,5.17,0.158,5.79,0.463
2021-09-10,171.87149211347102,0.20734804673156998,0,0.082532525,168.55,169.09,166.87,166.97,6699315.0,,0.201,5.17,0.158,5.79,0.463
2021-09-13,170.22745469808575,0.05982305973104285,0,0.13268892,167.92,168.12,165.13,165.8,6273506.0,,0.201,5.17,0.158,5.79,0.463
2021-09-14,168.18446007966992,0.16965046938150813,0,0.07171574,166.4,166.54,164.51,164.8,5259559.0,,0.201,5.17,0.158,5.79,0.463
2021-09-15,166.09770076870916,0.34824866366190066,0,0.34344888,165.0,165.96,164.31,165.42,7935279.0,,0.201,5.17,0.158,5.79,0.463
2021-09-16,164.3916196155548,0.42303535863937436,0,0.4739666,165.65,166.46,164.19,165.22,5665537.0,,0.201,5.17,0.158,5.79,0.463
2021-09-17,163.30693447232244,0.5035025756950179,0,0.23235431,164.3,164.91,163.555,164.75,13422106.0,,0.201,5.17,0.158,5.79,0.463
2021-09-20,162.83419149100777,-0.00509034174657721,1,0.86638004,163.48,165.17,162.165,163.81,7271017.0,,0.201,5.17,0.158,5.79,0.463
2021-09-21,162.70380546450613,-0.05934521248939552,1,0.913637,164.61,165.98,164.24,164.53,6663566.0,,0.201,5.17,0.158,5.79,0.463
2021-09-22,162.75448772430417,0.1118720907033043,1,0.593463,165.35,165.95,163.63,163.93,5657126.0,,0.201,5.17,0.158,5.79,0.463
2021-09-23,162.8228324216604,0.22661780297795872,1,0.7156754,164.4,165.77,164.15,164.86,4697939.0,,0.201,5.17,0.158,5.79,0.463
2021-09-24,162.99231041073796,0.2660536103206259,0,0.44586465,164.75,165.65,163.89,164.36,4399614.0,,0.201,5.17,0.158,5.79,0.463
2021-09-27,163.21042814671992,0.2087125695637488,0,0.12064943,164.0,164.36,162.85,163.17,5775461.0,,0.201,5.17,0.158,5.79,0.463
2021-09-28,163.29578977048394,0.1503543775605235,0,0.26408276,163.1,163.91,161.771,162.81,7610354.0,,0.201,5.17,0.158,5.79,0.463
2021-09-29,163.20558199584482,0.3529372506806159,1,0.96630305,163.0,164.66,162.78,164.02,5124102.0,,0.201,5.17,0.158,5.79,0.463
2021-09-30,163.10385377407073,0.5415715649276492,0,0.11341482,164.64,165.4,161.41,161.5,6974317.0,,0.201,5.17,0.158,5.79,0.463
2021-10-01,162.83400120973585,0.6438788259543072,0,0.17574929,161.53,161.9,158.62,160.47,8568560.0,,0.201,5.17,0.158,5.79,0.463
2021-10-04,162.29964804291723,0.37961887104837616,0,0.14656574,159.99,161.0,157.6737,159.22,8621017.0,,0.201,5.17,0.158,5.79,0.463
2021-10-05,161.47988019406796,0.27648737517154426,0,0.24446796,159.86,161.11,159.15,159.58,5129033.0,,0.201,5.17,0.158,5.79,0.463
2021-10-06,160.5527359008789,0.2532327633116409,0,0.41900384,159.87,159.95,157.84,159.91,7312649.0,,0.201,5.17,0.158,5.79,0.463
2021-10-07,159.7520852982998,0.3193352805603052,1,0.84456795,160.02,162.61,160.02,161.34,5309181.0,,0.201,5.17,0.158,5.79,0.463
2021-10-08,159.3681675416231,-0.04651541459083616,1,0.5201504,161.32,161.61,160.25,160.93,4343438.0,,0.201,5.17,0.158,5.79,0.463
2021-10-11,159.44037808001042,0.5790401437304854,0,0.22882724,160.86,161.855,159.94,160.25,4101646.0,,0.201,5.17,0.158,5.79,0.463
2021-10-12,159.7269272238016,0.6996362363131386,0,0.13820508,160.0,160.18,157.34,157.69,6686443.0,,0.201,5.17,0.158,5.79,0.463
2021-10-13,159.76196065545082,0.7094816412612622,1,0.84159344,157.82,160.08,157.75,159.2,6901589.0,,0.201,5.17,0.158,5.79,0.463
2021-10-14,159.57601370185614,0.7458749784179218,1,0.9322573,159.71,161.14,159.6,160.11,4580894.0,,0.201,5.17,0.158,5.79,0.463
2021-10-15,159.3664224937558,0.5040673745769563,1,0.95362675,161.03,161.81,160.41,161.3,6918407.0,,0.201,5.17,0.158,5.79,0.463
2021-10-18,159.36105848878623,0.37140928335051926,0,0.12704594,160.25,160.89,159.2,160.12,7465461.0,,0.201,5.17,0.158,5.79,0.463
2021-10-19,159.51756724357605,0.3460720638955215,1,0.60686827,160.9,165.15,160.725,163.87,10081294.0,,0.201,5.17,0.158,5.79,0.463
2021-10-20,160.08966836094856,0.22998992537301463,1,0.7510792,163.98,164.75,163.26,163.78,6003177.0,,0.201,5.17,0.158,5.79,0.463
2021-10-21,160.9630377215147,0.25787718359039286,0,0.44004244,164.3,164.39,162.28,163.4,4524127.0,,0.201,5.17,0.158,5.79,0.463
2021-10-22,161.82644501447675,0.28615047901874213,1,0.7971554,163.06,164.06,162.96,163.72,4304467.0,,0.201,5.17,0.158,5.79,0.463
2021-10-25,162.51991186261174,0.15687494270932284,1,0.7971554,163.72,164.31,161.71,164.08,6715399.0,,0.201,5.17,0.158,5.79,0.463
2021-10-26,163.01815012574193,0.07952584975589178,1,0.9461988,164.56,166.03,164.05,165.75,6939057.0,,0.201,5.17,0.158,5.79,0.463
2021-10-27,163.4501849579811,0.09445214810318493,0,0.15294716,165.68,165.76,163.305,163.74,7018787.0,,0.201,5.17,0.158,5.79,0.463
2021-10-28,163.68172113656996,0.13547690611909913,0,0.0669411,163.77,165.2,162.32,162.85,6278844.0,,0.201,5.17,0.158,5.79,0.463
2021-10-29,163.71213723659514,0.17951537615391105,1,0.52122045,162.35,163.25,160.61,162.88,8526806.0,,0.201,5.17,0.158,5.79,0.463
2021-11-01,163.55397737026212,-0.10848718158792345,1,0.8561659,163.16,163.98,159.4,163.02,5816789.0,,0.201,5.17,0.158,5.79,0.463
2021-11-02,163.2974782156944,-0.10779401225078623,1,0.93667203,163.7,166.9818,162.98,165.59,8104160.0,,0.201,5.17,0.158,5.79,0.463
2021-11-03,163.19110616743563,-0.07053325312293648,0,0.48641285,165.04,165.77,163.43,165.06,6717787.0,,0.201,5.17,0.158,5.79,0.463
2021-11-04,163.32803642451762,0.07685272345979667,0,0.28027835,164.935,164.99,162.67,164.6,8224377.0,,0.201,5.17,0.158,5.79,0.463
2021-11-05,163.5950588560104,0.10725346448199655,0,0.22895832,162.48,164.6,162.2,163.43,6215911.0,,0.201,5.17,0.158,5.79,0.463
2021-11-08,163.78404910564421,0.13327077571479037,0,0.21275519,163.68,164.17,162.01,162.87,5579037.0,,0.201,5.17,0.158,5.79,0.463
2021-11-09,163.76049276590345,0.04502110414516195,0,0.21557061,162.61,163.59,162.02,162.51,6081653.0,,0.201,5.17,0.158,5.79,0.463
2021-11-10,163.5158705347776,0.19377630561085077,1,0.97637504,162.53,164.84,162.35,164.27,6225098.0,,0.201,5.17,0.158,5.79,0.463
2021-11-11,163.23453606128692,0.2259412494672671,0,0.26557267,163.49,163.81,162.4921,163.06,4118791.0,,0.201,5.17,0.158,5.79,0.463
2021-11-12,162.99259944558142,0.48419062195154,0,0.3337861,167.43,167.62,164.61,165.01,17162354.0,,0.201,5.17,0.158,5.79,0.463
2021-11-15,162.97457812309264,0.694138113429915,0,0.07407835,165.0,165.46,163.2164,163.52,7496205.0,,0.201,5.17,0.158,5.79,0.463
2021-11-16,163.09671220481394,0.6791237054914027,0,0.25317478,163.18,164.35,162.62,162.67,7594717.0,,0.201,5.17,0.158,5.79,0.463
2021-11-17,163.15099776566026,0.4407868532497673,1,0.6913545,162.87,163.86,161.79,163.28,5414474.0,,0.201,5.17,0.158,5.79,0.463
2021-11-18,163.13123019099234,0.4256491316368073,0,0.44442353,163.45,164.47,162.13,162.4,6359664.0,,0.201,5.17,0.158,5.79,0.463
