Date,LSTM_Pred,Sentiment_Score,XGB_Pred,XGB_Prob_Up,Open,High,Low,Close,Volume,DE Ratio,Return on Equity,Price/Book,Profit Margin,Diluted EPS,Beta
2021-09-03,160.08796875834463,0.4578680749558829,0,0.05106702,160.39,160.89,159.145,159.49,7961223.0,,0.174,2.098,0.351,19.76,1.09
2021-09-07,159.832588160038,0.2221742455717817,0,0.04889128,159.99,161.3814,158.96,159.21,9290968.0,,0.174,2.098,0.351,19.76,1.09
2021-09-08,159.69426799297332,0.1999456159941518,0,0.1274686,158.89,159.58,158.04,158.5,7852678.0,,0.174,2.098,0.351,19.76,1.09
2021-09-09,159.59699019432068,0.14571723333488182,1,0.64613926,158.27,160.8325,158.08,159.19,7904256.0,,0.174,2.098,0.351,19.76,1.09
2021-09-10,159.55771800518036,0.11854309586467413,0,0.012601136,160.56,160.7193,157.22,157.36,8311551.0,,0.174,2.098,0.351,19.76,1.09
2021-09-13,159.34439381837845,0.024706446705176372,1,0.92828375,158.53,160.05,158.07,159.86,10052807.0,,0.174,2.098,0.351,19.76,1.09
2021-09-14,159.24359910726545,0.029720086368602815,0,0.08613202,160.45,161.34,156.26,157.07,11685606.0,,0.174,2.098,0.351,19.76,1.09
2021-09-15,158.96152514338493,0.08914505695813851,0,0.4602714,156.72,158.69,156.47,158.16,11691485.0,,0.174,2.098,0.351,19.76,1.09
2021-09-16,158.69675438880918,0.15875670953812676,1,0.5415703,159.41,160.855,157.22,158.09,10880895.0,,0.174,2.098,0.351,19.76,1.09
2021-09-17,158.50603222608567,0.2852526268147167,0,0.3057182,157.38,159.01,157.0,157.68,25608018.0,,0.174,2.098,0.351,19.76,1.09
2021-09-20,158.0463717675209,0.6776832768895609,0,0.07794513,153.89,154.56,150.49,152.96,15819905.0,,0.174,2.098,0.351,19.76,1.09
2021-09-21,157.23118662834167,0.49666888695861905,0,0.2586643,153.53,154.55,152.5774,152.98,8999860.0,,0.174,2.098,0.351,19.76,1.09
2021-09-22,156.326120929718,0.43804878970690636,1,0.87164646,155.2,157.25,155.1,155.91,11236150.0,,0.174,2.098,0.351,19.76,1.09
2021-09-23,155.60950312376022,0.4259760652601001,1,0.99029607,158.0,161.71,157.67,161.18,12336136.0,,0.174,2.098,0.351,19.76,1.09
2021-09-24,155.93100167632102,0.2135066959927395,1,0.98622257,161.44,163.59,160.82,163.04,10102432.0,,0.174,2.098,0.351,19.76,1.09
2021-09-27,157.31415059328077,0.20905314794162083,1,0.98362917,165.0,167.4,164.61,166.98,13220871.0,,0.174,2.098,0.351,19.76,1.09
2021-09-28,159.58973363161087,0.31825275716240115,0,0.4385603,167.7,169.3,165.66,166.08,13387886.0,,0.174,2.098,0.351,19.76,1.09
2021-09-29,161.74777559399604,0.3633294578429498,0,0.24050662,166.21,166.9,165.04,165.95,7777078.0,,0.174,2.098,0.351,19.76,1.09
2021-09-30,163.1835375213623,0.42482204599401197,0,0.3178214,166.92,166.99,162.79,163.69,13168016.0,,0.174,2.098,0.351,19.76,1.09
2021-10-01,163.75600880861282,0.4087765115090512,1,0.8977837,164.0,168.3,163.6,167.13,11284976.0,,0.174,2.098,0.351,19.76,1.09
2021-10-04,164.0005514550209,0.4618741899888817,1,0.6654901,166.97,170.437,165.73,166.95,14120044.0,,0.174,2.098,0.351,19.76,1.09
2021-10-05,164.20898713350294,0.4292133640683308,1,0.89956576,167.21,170.14,166.67,168.66,12292877.0,,0.174,2.098,0.351,19.76,1.09
2021-10-06,164.8681034207344,0.5254698462717667,1,0.94595927,167.99,169.1,166.0,169.02,8692607.0,,0.174,2.098,0.351,19.76,1.09
