Date,LSTM_Pred,Sentiment_Score,XGB_Pred,XGB_Prob_Up,Open,High,Low,Close,Volume,DE Ratio,Return on Equity,Price/Book,Profit Margin,Diluted EPS,Beta
2021-09-03,56.17705270349979,0.11310101898451705,1,0.5451862,56.46,56.765,56.245,56.73,13220668.0,,0.396,12.79,0.226,2.46,0.454
2021-09-07,56.332674058675764,-0.07967728899525166,0,0.31219408,56.6,56.69,55.51,55.67,20037974.0,,0.396,12.79,0.226,2.46,0.454
2021-09-08,56.37494077861309,0.07720211455538599,0,0.39515516,55.61,56.48,55.61,56.42,12040068.0,,0.396,12.79,0.226,2.46,0.454
2021-09-09,56.36789135068655,0.036864157413546934,0,0.30058247,56.18,56.42,55.8,55.86,12545367.0,,0.396,12.79,0.226,2.46,0.454
2021-09-10,56.29663056790829,0.00846659462354306,1,0.51554507,56.01,56.13,55.515,55.61,10573710.0,,0.396,12.79,0.226,2.46,0.454
2021-09-13,56.16628102838993,0.12328449417462586,0,0.406922,55.74,56.395,55.74,56.07,20274271.0,,0.396,12.79,0.226,2.46,0.454
2021-09-14,56.019146761596204,0.1546329274472781,1,0.5266938,55.92,55.98,55.55,55.69,13918852.0,,0.396,12.79,0.226,2.46,0.454
2021-09-15,55.89335727542639,0.4315750435444839,0,0.365931,55.68,56.0,55.42,55.88,15745981.0,,0.396,12.79,0.226,2.46,0.454
2021-09-16,55.814758537709714,0.6391469052378029,0,0.37886503,55.72,55.985,54.82,55.35,17430420.0,,0.396,12.79,0.226,2.46,0.454
2021-09-17,55.73507948189974,0.718427730639205,0,0.30064029,55.02,55.194,54.37,54.44,33383192.0,,0.396,12.79,0.226,2.46,0.454
2021-09-20,55.49597785189748,0.16234402779670146,0,0.32241997,54.11,54.4,53.7273,54.06,27542450.0,,0.396,12.79,0.226,2.46,0.454
2021-09-21,55.12146315768361,0.134693233230744,1,0.6338298,54.39,54.82,53.94,54.05,16418161.0,,0.396,12.79,0.226,2.46,0.454
2021-09-22,54.75011417686939,0.08533778707087933,1,0.50434536,54.505,54.56,54.0623,54.13,12719723.0,,0.396,12.79,0.226,2.46,0.454
2021-09-23,54.455885232836,0.4004214539587686,0,0.3437277,54.26,54.6175,54.0,54.04,13836215.0,,0.396,12.79,0.226,2.46,0.454
2021-09-24,54.24247141972184,0.3108847598075349,0,0.25780386,54.0,54.24,53.86,53.89,9682234.0,,0.396,12.79,0.226,2.46,0.454
2021-09-27,54.10668588206172,0.3050808315698139,0,0.25586182,53.85,54.245,53.57,53.61,12429466.0,,0.396,12.79,0.226,2.46,0.454
2021-09-28,53.99354670934379,0.32137794583127477,1,0.7637717,53.46,53.46,52.43,52.64,19926090.0,,0.396,12.79,0.226,2.46,0.454
