Date,LSTM_Pred,Sentiment_Score,XGB_Pred,XGB_Prob_Up,Open,High,Low,Close,Volume,DE Ratio,Return on Equity,Price/Book,Profit Margin,Diluted EPS,Beta
2021-08-02,125.65134629977865,0.3954091929212066,1,0.5530434,197.0,199.61,193.61,197.5,21744397.0,,1.192,33.88,0.558,2.94,1.765
2021-08-03,98.42763217117636,0.2537056972183963,0,0.2653298,197.4,202.22,192.2,198.15,30181074.0,,1.192,33.88,0.558,2.94,1.765
2021-08-04,116.94087080283089,0.15937623802458617,1,0.9798601,199.9,203.18,198.28,202.74,23130940.0,,1.192,33.88,0.558,2.94,1.765
2021-08-05,147.6874107769504,0.09426187466612172,1,0.9667772,205.0,207.33,203.42,206.37,21143537.0,,1.192,33.88,0.558,2.94,1.765
2021-08-06,176.02603879243134,0.1889918333228468,0,0.18064281,205.24,205.7,202.1,203.66,17849661.0,,1.192,33.88,0.558,2.94,1.765
2021-08-09,197.09884142734109,0.45530243411288135,0,0.22924249,204.46,205.0799,201.43,202.95,14644310.0,,1.192,33.88,0.558,2.94,1.765
2021-08-10,216.76028418026866,0.500347484118614,0,0.050397135,203.22,204.3,198.3454,199.36,17923778.0,,1.192,33.88,0.558,2.94,1.765
2021-08-11,236.99278849408032,0.4607785612564156,0,0.2500116,200.43,200.49,194.3,196.99,18592484.0,,1.192,33.88,0.558,2.94,1.765
2021-08-12,256.28921523362396,0.43390711183865804,1,0.81203616,198.7,200.2899,196.2,199.05,15186155.0,,1.192,33.88,0.558,2.94,1.765
2021-08-13,260.8043909151852,0.6224507610201577,1,0.817223,199.05,202.1381,198.51,201.88,18059898.0,,1.192,33.88,0.558,2.94,1.765
2021-08-16,237.8669044752419,0.36742928588732704,0,0.4162396,201.35,202.87,194.53,199.5,21115280.0,,1.192,33.88,0.558,2.94,1.765
2021-08-17,190.73156525611876,0.174170964034535,0,0.09531229,196.85,197.7,192.67,194.58,20458485.0,,1.192,33.88,0.558,2.94,1.765
2021-08-18,191.96317597337065,0.16408504564138415,0,0.015277397,195.0,196.3365,190.0,190.4,28591348.0,,1.192,33.88,0.558,2.94,1.765
2021-08-19,191.89399270571766,0.12926245021751928,1,0.9633005,194.94,204.95,187.62,197.98,76655477.0,,1.192,33.88,0.558,2.94,1.765
2021-08-20,191.64863678112624,0.09502924581678376,1,0.9856676,199.91,208.6506,199.33,208.16,67574131.0,,1.192,33.88,0.558,2.94,1.765
2021-08-23,191.90010335341094,0.1608881963922429,1,0.99364,209.71,219.97,209.5,219.58,57580658.0,,1.192,33.88,0.558,2.94,1.765
2021-08-24,193.31580123350022,0.309228740925032,1,0.95972466,217.53,219.59,215.35,217.93,29729892.0,,1.192,33.88,0.558,2.94,1.765
2021-08-25,195.6741617065668,0.3230408989981885,1,0.96410906,217.37,224.7,217.22,222.13,34770104.0,,1.192,33.88,0.558,2.94,1.765
2021-08-26,198.36531841427086,0.3565229615879585,0,0.28858098,222.0,223.4,217.9,220.68,23794042.0,,1.192,33.88,0.558,2.94,1.765
2021-08-27,201.43005478054283,0.49491815384327187,1,0.98594415,221.84,227.22,221.67,226.36,30472219.0,,1.192,33.88,0.558,2.94,1.765
2021-08-30,204.99515894286333,0.3019942929982091,0,0.28416568,228.2997,230.43,225.51,226.88,26257990.0,,1.192,33.88,0.558,2.94,1.765
2021-08-31,208.47689864084123,0.3173337862324768,0,0.07560182,226.95,226.95,221.2,223.85,25984968.0,,1.192,33.88,0.558,2.94,1.765
2021-09-01,211.39566605210305,0.28346350457011243,0,0.4918987,224.85,226.97,223.565,224.41,20176695.0,,1.192,33.88,0.558,2.94,1.765
2021-09-02,212.32337347462774,0.1764061506513442,0,0.26986068,225.18,225.9299,222.945,223.96,18810957.0,,1.192,33.88,0.558,2.94,1.765
2021-09-03,211.31417410492898,0.10467515170586231,1,0.92089444,223.25,229.86,222.0,228.43,28083198.0,,1.192,33.88,0.558,2.94,1.765
2021-09-07,209.4365699314326,0.03475706440324604,1,0.57732093,228.33,228.99,225.224,226.62,19810716.0,,1.192,33.88,0.558,2.94,1.765
2021-09-08,206.9187458962947,-0.07326635742395901,0,0.161053,225.13,226.1,219.77,223.39,25443421.0,,1.192,33.88,0.558,2.94,1.765
2021-09-09,204.56705158434806,0.06199098346121723,0,0.036403276,223.12,225.38,221.31,221.77,19685601.0,,1.192,33.88,0.558,2.94,1.765
2021-09-10,202.53396606862543,0.024071708314936338,1,0.7666333,223.4831,226.26,222.7,224.78,24837574.0,,1.192,33.88,0.558,2.94,1.765
2021-09-13,200.82501327477394,-0.18409810142578165,0,0.16437054,226.84,229.64,218.58,221.52,29749990.0,,1.192,33.88,0.558,2.94,1.765
2021-09-14,199.4826244418323,-0.15260170599175663,0,0.26392707,222.75,224.1,220.86,222.42,19975460.0,,1.192,33.88,0.558,2.94,1.765
2021-09-15,199.54718883380292,-0.017718456645145386,0,0.37719843,223.09,223.6699,219.66,223.41,16653801.0,,1.192,33.88,0.558,2.94,1.765
2021-09-16,201.86282470680771,0.1143403886244602,0,0.27796724,221.8345,222.77,219.27,222.42,15603344.0,,1.192,33.88,0.558,2.94,1.765
2021-09-17,206.18898850537835,0.4667233845984784,0,0.017660951,223.0,223.21,218.3,219.0,29450284.0,,1.192,33.88,0.558,2.94,1.765
2021-09-20,210.1792102404684,0.5023865892358372,0,0.44316378,211.46,214.33,206.62,211.13,34944045.0,,1.192,33.88,0.558,2.94,1.765
2021-09-21,212.8040735986829,0.2845520206649155,1,0.88282216,214.165,214.25,209.5,212.46,20468810.0,,1.192,33.88,0.558,2.94,1.765
2021-09-22,213.48429042704404,0.19357827190147514,1,0.93925726,213.655,219.6,211.96,219.41,26872556.0,,1.192,33.88,0.558,2.94,1.765
2021-09-23,213.90452697172762,0.20595918115219086,1,0.97612345,221.4,225.345,218.9,224.82,24855491.0,,1.192,33.88,0.558,2.94,1.765
2021-09-24,214.2454436891526,0.2710869936837821,0,0.1694306,220.7,221.49,218.61,220.81,21765545.0,,1.192,33.88,0.558,2.94,1.765
