Date,LSTM_Pred,Sentiment_Score,XGB_Pred,XGB_Prob_Up,Open,High,Low,Close,Volume,DE Ratio,Return on Equity,Price/Book,Profit Margin,Diluted EPS,Beta
2021-09-03,675.2682526576519,0.4090822759343117,0,0.4595413,732.2494,734.0,724.2,733.57,15271045.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-07,684.3678554219008,0.2198276943138955,1,0.76974607,740.0,760.2,739.26,752.92,20039825.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-08,692.17829931736,0.2773145460973753,0,0.4879517,761.58,764.45,740.7733,753.87,18793036.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-09,699.7174715566636,0.3375782861754601,1,0.64917105,753.41,762.1,751.6301,754.86,14077731.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-10,706.3280214738846,0.2853430906467104,0,0.12406363,759.6,762.61,734.5201,736.27,15184170.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-13,708.6376084285976,0.22253750775415057,1,0.5630669,740.2143,744.78,708.85,743.0,22952482.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-14,708.0578881281615,0.19204689114231974,1,0.6772603,742.57,754.47,736.4,744.49,18524881.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-15,708.8105884075165,0.2338690784268709,1,0.94289684,745.0,756.86,738.36,755.83,15357685.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-16,711.8923333817721,0.2674090507980945,1,0.9184077,752.83,758.91,747.61,756.99,13923393.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-17,712.1274310261011,0.3272141066929024,1,0.987656,757.15,761.04,750.0,759.49,28204176.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-20,714.834597785473,0.33809424848257674,0,0.054636076,734.5577,742.0,718.6249,730.17,24757652.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-21,717.234853797555,0.25713970123128643,0,0.4268308,734.79,744.7399,730.44,739.38,16330723.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-22,716.626247779727,0.2281467187159749,1,0.90153295,743.5263,753.6699,739.12,751.94,15126272.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-23,715.7097949033977,0.2731468929484862,1,0.82757115,755.0,758.2,747.92,753.64,11947527.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-24,714.6668332833052,0.3702182354472546,1,0.9821869,745.89,774.8,744.56,774.39,21373022.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-27,716.4917152255774,0.5648210904425369,1,0.7688717,773.12,799.0,769.31,791.36,28070657.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-28,719.7417596226932,0.5338314564466233,0,0.043882832,787.2,795.64,766.1801,777.56,25381422.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-29,722.5927531832457,0.5257360035687842,0,0.40539473,779.8,793.5,770.68,781.31,20942877.0,,0.104,11.84,0.0726,2.04,2.507
2021-09-30,726.2865811598301,0.46309713324215573,0,0.26574033,781.0,789.1305,775.0,775.48,17955961.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-01,731.1752213680745,0.41885145650511413,0,0.42978,778.4,780.78,763.59,775.22,17031414.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-04,737.1461398673058,0.18916170931278675,0,0.4581178,796.5,806.9699,776.12,781.53,30483341.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-05,743.9348183751107,0.2178847645304041,0,0.46775252,784.7962,797.31,774.2,780.59,18432625.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-06,748.3087980121375,0.20658330066004585,1,0.5591762,776.2,786.66,773.22,782.75,14632768.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-07,751.3601862370969,0.25622033491139806,1,0.628854,785.46,805.0,783.38,793.61,19195782.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-08,752.9202824366093,0.3036839038869609,0,0.21134385,796.21,796.38,780.91,785.49,16738604.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-11,755.7383115094901,0.34473200158483797,0,0.3081657,787.65,801.24,785.5,791.94,14200322.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-12,757.6951851326228,0.38277508471722116,1,0.90962017,800.93,812.32,796.57,805.72,22020040.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-13,759.9720750600101,0.3136479787956768,1,0.90110844,810.47,815.41,805.78,811.08,14120075.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-14,761.2111519789696,0.3499225059494168,1,0.9843471,815.49,820.25,813.3501,818.32,12247170.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-15,762.4424056828022,0.35472848222145087,1,0.9804292,823.7384,843.21,822.35,843.03,18924567.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-18,764.3205122339726,0.40047101548903086,1,0.971602,851.79,875.26,851.47,870.11,24207244.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-19,772.6495617407561,0.36314513656193687,1,0.57662433,877.53,877.95,862.51,864.27,17381128.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-20,783.0149874585868,0.3236284416818352,1,0.521557,865.35,869.49,857.38,865.8,14032052.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-21,794.3111083161832,0.2705487873092063,1,0.91984445,856.0,900.0,855.5046,894.0,31481454.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-22,808.0156427264214,0.266966804252611,1,0.98474175,895.5,910.0,890.96,909.68,22880835.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-25,821.0752633768321,0.44035425804503714,1,0.54092574,950.53,1045.02,944.2,1024.86,62852099.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-26,835.3813161057235,0.40054579174208177,0,0.20747042,1024.69,1094.94,1001.44,1018.43,62414968.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-27,853.5597265923025,0.37029606542104065,1,0.69833773,1039.66,1070.88,1030.78,1037.86,38526459.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-28,872.8274362039567,0.3845437460872861,1,0.9468876,1068.305,1081.0,1054.2,1077.04,27213173.0,,0.104,11.84,0.0726,2.04,2.507
2021-10-29,894.3686256235839,0.35890162871221026,1,0.986528,1081.86,1115.21,1073.205,1114.0,29918417.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-01,917.549881886244,0.3948818849613428,1,0.98004663,1145.0,1209.75,1118.66,1208.59,54868952.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-02,943.1243733268977,0.3797588628712842,0,0.48357648,1159.355,1208.59,1146.0,1172.0,42450935.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-03,969.3036594754459,0.36288542331927964,1,0.97701436,1177.33,1215.39,1152.62,1213.86,34628519.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-04,995.436474388838,0.3612872253705254,1,0.9201318,1234.41,1243.49,1217.0,1229.91,25397410.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-05,1019.350572000146,0.29434859906427824,1,0.66539633,1228.0,1239.87,1208.0,1222.09,21628812.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-08,1043.8168414962292,0.5118449786950197,0,0.046817575,1149.785,1197.0,1133.0,1162.94,33445715.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-09,1065.9164212536814,0.4842760779447739,0,0.0227616,1173.6,1174.5,1011.52,1023.5,58525547.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-10,1082.8861115705968,0.47569381994322607,1,0.65844655,1010.41,1078.1,987.31,1067.95,42802722.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-11,1096.4799173974993,0.34532997974375446,1,0.69785136,1102.77,1104.97,1054.68,1063.51,22396568.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-12,1106.9608191198113,0.3799787782045054,0,0.25353467,1047.5,1054.5,1019.2,1033.42,25147852.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-15,1110.9020479166509,0.2530279148015898,0,0.13605525,1017.63,1031.98,978.6,1013.39,34775649.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-16,1106.9786720979214,0.2328830427614642,1,0.833019,1003.31,1057.1999,1002.18,1054.73,26542359.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-17,1103.349703255296,0.30166621029312213,1,0.7506143,1063.51,1119.64,1055.5,1089.01,31445365.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-18,1102.588243649602,0.3047470124880608,1,0.6257141,1106.55,1112.0,1075.02,1096.38,20898930.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-19,1104.3078130805493,0.3827434630209276,1,0.98312515,1098.87,1138.7199,1092.7,1137.06,21642258.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-22,1113.806667276621,0.25381277182913603,0,0.17272249,1162.33,1201.95,1132.43,1156.87,33072509.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-23,1115.9551762378217,0.32734673596431196,0,0.02647077,1167.51,1180.4999,1062.7,1109.03,36171700.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-24,1127.271490351558,0.3974064408499079,0,0.47708514,1080.39,1132.77,1062.0,1116.0,22560238.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-26,1143.420411731005,0.5038654789370783,0,0.029090852,1099.47,1108.7827,1081.0,1081.92,11680890.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-29,1159.4876908397678,0.4362011934715397,1,0.691006,1100.99,1142.67,1100.19,1136.99,19464467.0,,0.104,11.84,0.0726,2.04,2.507
2021-11-30,1175.602109834552,0.4047007631497269,1,0.66614044,1144.37,1168.0,1118.0,1144.76,27092038.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-01,1179.8313934242728,0.3974342071595462,0,0.14129306,1160.695,1172.8399,1090.76,1095.0,22934698.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-02,1187.8390893250707,0.38222285881989404,0,0.13310383,1099.06,1113.0,1056.65,1084.6,24371623.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-03,1187.2130983847383,0.45499919925167925,0,0.021552522,1084.79,1090.5753,1000.21,1014.97,30773995.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-06,1176.6629244327548,0.3720501582455688,0,0.3351921,1001.51,1021.64,950.5,1009.01,27221037.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-07,1155.5029997366669,0.27776335685850184,1,0.90713507,1044.2,1057.6739,1026.81,1051.75,18694857.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-08,1131.6008041107657,0.31525451956608,1,0.58705693,1052.71,1072.38,1033.0001,1068.96,13968790.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-09,1128.2428394639494,0.29657958141047136,0,0.14200565,1060.64,1062.49,1002.36,1003.8,19812832.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-10,1116.5160405838492,0.31399512913724886,0,0.18632324,1008.75,1020.9797,982.53,1017.03,19888122.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-13,1103.3810629808904,0.22689178833743615,0,0.024873137,1001.09,1005.0,951.42,966.41,26198502.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-14,1093.784518893361,0.2382001603614068,0,0.11551326,945.0,966.41,930.0,958.51,23602090.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-15,1089.2839636474848,0.3250750353341542,1,0.66668713,953.21,978.7499,928.2501,975.99,25056410.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-16,1081.4374794703724,0.39781663456310307,0,0.02422565,994.5,994.98,921.85,926.92,27590483.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-17,1069.817196673155,0.33178599130913206,0,0.29554725,914.77,960.6599,909.0401,932.57,33626754.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-20,1058.2425158649685,0.035749574392417396,0,0.062858276,910.7,921.6884,893.39,899.94,18826671.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-21,1040.6921022713186,0.16542236332132268,1,0.79025763,916.87,939.5,886.12,938.53,23839305.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-22,1019.4780837202073,0.21762275034279113,1,0.9893454,965.66,1015.6599,957.05,1008.87,31211362.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-23,1007.3018177282811,0.2888777541345952,1,0.97858685,1006.8,1072.9767,997.56,1067.0,30904429.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-27,1001.0606305491925,0.4273510158940912,0,0.18611355,1073.67,1117.0,1070.7152,1093.94,23715273.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-28,1007.7917382174732,0.4015723305468541,1,0.5522642,1109.49,1118.9999,1078.42,1088.47,20107969.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-29,1014.6597855830194,0.3533405793936657,0,0.20186278,1098.64,1104.0,1064.14,1086.19,18718015.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-30,1022.4783870190383,0.4446678038502708,0,0.07233329,1061.33,1095.55,1053.15,1070.34,15680313.0,,0.104,11.84,0.0726,2.04,2.507
2021-12-31,1035.2722189503909,0.32490290552661866,0,0.009827331,1073.4444,1081.9999,1054.59,1056.78,13466216.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-03,1045.7448962670567,0.3471380448916278,1,0.9834858,1147.75,1201.07,1136.04,1199.78,34895349.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-04,1065.756279371381,0.31636523455395743,0,0.37658897,1189.55,1208.0,1123.05,1149.59,33416086.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-05,1087.3272906196119,0.29633403654868445,0,0.024393614,1146.65,1170.34,1081.0101,1088.12,26706599.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-06,1099.6450431346896,0.2498141516474067,0,0.121410854,1077.0,1088.0,1020.5,1064.7,30112158.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-07,1101.3196792274714,0.25010133294942505,0,0.016334688,1080.37,1080.9299,1010.0,1026.96,28054916.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-10,1105.5783834552767,0.25244409206839225,1,0.8087182,1000.0,1059.1,980.0,1058.12,30604959.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-11,1100.6090370875597,0.321738573741663,1,0.87274766,1053.67,1075.85,1038.82,1064.4,21593308.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-12,1098.999059533477,0.2291118517906196,1,0.9922537,1078.85,1114.84,1072.5901,1106.22,27913005.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-13,1096.625415825844,0.28329434570017065,0,0.061936382,1109.065,1115.6,1026.5391,1031.56,32403264.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-14,1087.2219112432003,0.2674348357273413,0,0.20039292,1019.88,1052.0,1013.3788,1049.61,24308137.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-18,1085.1554457432032,0.29681016621831396,0,0.039156865,1026.605,1070.7899,1016.06,1030.51,22158412.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-19,1083.3529636049273,0.23453402350770428,0,0.02377595,1041.705,1054.6699,995.0,995.65,24870215.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-20,1089.9526145130396,0.25860715834389564,0,0.054008972,1009.73,1041.66,994.0,996.27,23496248.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-21,1095.7134429103137,0.31186510504700377,0,0.08865099,996.34,1004.55,940.5,943.9,34472009.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-24,1093.756569287181,0.4233991414370586,1,0.85259753,904.76,933.5131,851.47,930.0,50791714.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-25,1083.2315366077423,0.3908686845627815,1,0.8634305,914.2,951.26,903.21,918.4,28865302.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-26,1066.511854849458,0.30696676219777064,1,0.51359636,952.43,987.69,906.0,937.41,34955761.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-27,1048.7701402431728,0.3414095832627807,0,0.040219966,933.36,935.39,829.0,829.1,49036523.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-28,1027.6226524531842,0.29031878135893746,0,0.2566878,831.56,857.5,792.01,846.35,44929650.0,,0.104,11.84,0.0726,2.04,2.507
2022-01-31,1006.7465700495244,0.3074589063823712,1,0.87244433,872.71,937.99,862.05,936.72,34812032.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-01,991.6043025481702,0.19166377686323363,0,0.35506672,935.21,943.7,905.0,931.25,24379446.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-02,961.9513751530649,0.19980768730136578,0,0.2855751,928.18,931.5,889.41,905.66,22264345.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-03,938.698038327098,0.15492793780427588,0,0.11633492,882.0,937.0,880.52,891.14,26285186.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-04,924.8226636207105,0.09067596940846553,0,0.46414,897.22,936.5,881.17,923.32,24541822.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-07,918.0613997983934,0.2965892781110495,0,0.09191234,923.79,947.77,902.7089,907.34,20331488.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-08,920.2162609428168,0.3246535638563976,0,0.35027644,905.53,926.2899,894.8,922.0,16909671.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-09,923.540258125663,0.34845744565570896,1,0.7215734,935.0,946.2699,920.0,932.0,17419848.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-10,928.7320646363498,0.26947331222210613,0,0.19776927,908.37,943.81,896.7,904.55,22042277.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-11,927.6597492432595,0.3226564534161376,0,0.009523565,909.63,915.96,850.7,860.0,26548623.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-14,931.2410432791711,0.19353102776197803,0,0.2870481,861.57,898.8799,853.15,875.76,22585472.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-15,929.2938650935889,0.20257467834421192,1,0.8411798,900.0,923.0,893.3774,922.43,19216514.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-16,925.427124003172,0.2548614623823505,1,0.72697335,914.05,926.4299,901.21,923.39,17098132.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-17,922.2545093762876,0.2876330863866274,0,0.045948062,913.26,918.4999,874.1,876.35,18392806.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-18,913.9198432022334,0.33327149499450676,0,0.043425076,886.0,886.87,837.61,856.98,22833947.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-22,907.6239603823425,0.26884674792902874,0,0.05001826,834.13,856.7338,801.1001,821.53,27387874.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-23,899.5341541552544,0.26158454848810586,0,0.033342093,830.43,835.2997,760.56,764.04,31752336.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-24,887.1741429054738,0.30510164042675714,1,0.8598797,700.39,802.48,700.0,800.77,45107425.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-25,865.5559917712212,0.30735670600319753,1,0.7028878,809.23,819.5,782.4005,809.87,25355921.0,,0.104,11.84,0.0726,2.04,2.507
2022-02-28,855.9090982735158,0.2830567670648202,1,0.977794,815.01,876.86,814.7075,870.43,33002289.0,,0.104,11.84,0.0726,2.04,2.507
